Order;id;token;abs_frecuency;rel_frecuency;length;number_syllables;token_possition;number_token_sentences;number_synonyms;number_hyponyms;number_hypernyms;Part_of_speech;freq_relative_word_before;freq_relative_word_after;len_word_before;len_word_after;mtld_diversity;propn;aux;verb;adp;noun;nn;sym;num;complexity
1;3T2EL38U0MK9MPNAD5X3JSYWHBGQXZ;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.5354838704948751;0.05243445692883895;0.037037037037037035;0.0;0.0;1.0;1.0;0.02033813386914087;0.15000000000000002;0.5555555555555556;0.0;0.018018018018018018;0.14285714285714285;0.034482758620689655;0.037037037037037035;0.05454545454545454;0.0;0.0;0.0;0.125
2;3R16PJFTS3RWDK15GPB1QVPPP8Y4KH;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.9621975800621748;0.17602996254681647;0.037037037037037035;0.0;0.0;1.0;1.0;0.01154157667914022;0.15000000000000002;0.2777777777777778;0.1625396825396825;0.04504504504504504;0.14285714285714285;0.24137931034482757;0.12962962962962962;0.12727272727272726;0.0;0.0;0.0;0.133333333
3;3E9VAUV7BWE6ZE63T5MJC6Q0FWMYAY;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.90362903202487;0.07116104868913858;0.037037037037037035;0.0;0.0;1.0;0.025391479112974236;0.01154157667914022;0.15000000000000002;0.2777777777777778;0.0;0.036036036036036036;0.14285714285714285;0.0;0.05555555555555555;0.01818181818181818;0.0;0.0;0.0;0.142857143
4;3C8QQOM6JP115XI2MEP6ZWCNJQ4ILD;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.7028225804637876;0.033707865168539325;0.037037037037037035;0.0;0.0;1.0;1.0;0.01154157667914022;0.15000000000000002;0.2777777777777778;0.0;0.018018018018018018;0.0;0.0;0.037037037037037035;0.07272727272727272;0.0;0.0;0.05;0.205882353
5;3DZKABX2ZI5DOZ8W88VQB2CUXJMCVO;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.6950992550948131;0.09363295880149813;0.037037037037037035;0.0;0.0;1.0;0.1398714885003723;0.01154157667914022;0.1;0.2777777777777778;0.08345679012345679;0.09009009009009009;0.07142857142857142;0.0;0.1111111111111111;0.07272727272727272;0.0;0.0;0.0;0.225
6;3TZDZ3Y0JS6V4PLVPA1A2O462TW19P;european;1.0;1.0;0.4666666666666667;0.4000000000000001;0.21963205639493366;0.11610486891385768;0.037037037037037035;0.0;0.0;1.0;1.0;0.02033813386914087;0.15000000000000002;0.5555555555555556;0.12641975308641976;0.05405405405405406;0.07142857142857142;0.1724137931034483;0.037037037037037035;0.07272727272727272;0.0;0.0;0.0;0.25
7;37MQ8Z1JQEWHUBBZGQT46O7237A2Y9;yahweh;0.7825342465753424;0.7825341192006099;0.33333333333333337;0.2;0.0;0.06741573033707866;0.4074074074074074;0.0;0.0;1.0;0.0;0.0013101202740838918;0.0;0.3333333333333333;0.1782716049382716;0.04504504504504504;0.07142857142857142;0.034482758620689655;0.07407407407407407;0.05454545454545454;0.0;0.0;0.0;0.3375
8;39WSF6KUV2LXVDJD3NF76YIPM00OEL;yahweh;0.7825342465753424;0.7825341192006099;0.33333333333333337;0.2;0.0;0.1198501872659176;0.4074074074074074;0.0;0.0;1.0;0.0;0.0129140929355011;0.0;0.2222222222222222;0.04548229548500882;0.009009009009009009;0.14285714285714285;0.13793103448275862;0.1111111111111111;0.10909090909090909;0.0;0.0;0.0;0.426470588
9;3CESM1J3EI31N7Z0ORNJB43Y8206WF;yahweh;0.7825342465753424;0.7825341192006099;0.33333333333333337;0.2;0.6024193546832466;0.10861423220973783;0.4074074074074074;0.0;0.0;1.0;0.012290224277806553;0.12751886824028874;0.35000000000000003;0.1111111111111111;0.1111111111111111;0.009009009009009009;0.2857142857142857;0.1724137931034483;0.09259259259259259;0.09090909090909091;0.0;0.0;0.0;0.4375
10;3EPG8DX9LKQFKU2L7MZJR4H2JALP5M;yahweh;0.7825342465753424;0.7825341192006099;0.33333333333333337;0.2;0.0;0.056179775280898875;0.4074074074074074;0.0;0.0;1.0;0.0;0.0010605780204389493;0.0;0.3333333333333333;0.06320987654320988;0.018018018018018018;0.07142857142857142;0.10344827586206896;0.037037037037037035;0.03636363636363636;0.0;0.0;0.0;0.4375
11;3ZXV7Q5FJBOOS2M68TQMTG989LPFCM;yahweh;0.7825342465753424;0.7825341192006099;0.33333333333333337;0.2;0.6024193546832466;0.05243445692883895;0.4074074074074074;0.0;0.0;1.0;0.0010605780204389493;0.04785076381356013;0.4;0.2222222222222222;0.0;0.018018018018018018;0.07142857142857142;0.10344827586206896;0.05555555555555555;0.07272727272727272;0.0;0.0;0.0;0.458333333
12;3G5RUKN2EC3YIWSKUXZ8ZVH95T59N7;mice;0.7174657534246576;0.7174658271808098;0.2;0.0;0.25100806445135276;0.19101123595505617;0.07407407407407407;0.0;0.25;0.125;0.6244307164311634;0.04797554275453191;0.1;0.16666666666666666;0.08047169485008818;0.0;0.2857142857142857;0.27586206896551724;0.2037037037037037;0.32727272727272727;0.0;0.0;0.5;0.1
